new_index,question_id,concept_key,content_id,topic_group,topic,title,content_hash,flags,best_existing_score,best_existing_source,best_existing_question_id,best_existing_title,best_existing_content_id
1,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,RESUSCITATION,Bag-valve-mask ventilation,Correcting A Failing BVM Seal,55542340eacd,none,,,,,
2,EMS2026-2-1-2-2-6-03,JOB-2-1-2-2-6-03,2.1.2.2.6,RESUSCITATION,Supraglottic/extraglottic airways,Airway Choice After CPR Pauses,e55acca225b9,none,,,,,
3,EMS2026-2-1-2-6-03,JOB-2-1-2-6-03,2.1.2.6,RESUSCITATION,Control of post-tonsillectomy hemorrhage,Post-Tonsillectomy Airway Priority,56fdf385f3ab,none,,,,,
4,EMS2026-2-1-3-1-03,JOB-2-1-3-1-03,2.1.3.1,RESUSCITATION,Recognition of shock and hypotension,Compensated Shock With Bleeding,f3c37c699d75,none,,,,,
5,EMS2026-2-1-3-2-03,JOB-2-1-3-2-03,2.1.3.2,RESUSCITATION,Management of hypotension and shock,Obstructive Shock From Chest Trauma,84f8a12455e8,none,,,,,
6,EMS2026-2-1-3-3-3-02,JOB-2-1-3-3-3-02,2.1.3.3.3,RESUSCITATION,Placement of intraosseous lines (adult and pediatric),Pediatric IO Site With Tibial Fracture,b97ea0a6c5f0,none,,,,,
7,EMS2026-2-1-4-03,JOB-2-1-4-03,2.1.4,RESUSCITATION,Altered Mental Status,Airway First In Altered Mental Status,411d66a0c2c9,none,,,,,
8,EMS2026-2-2-1-2-03,JOB-2-2-1-2-03,2.2.1.2,TRAUMA,Management and resuscitation of multi-trauma patient,Trauma Tension Pneumothorax Priority,b1c271bef331,none,,,,,
9,EMS2026-2-2-1-5-03,JOB-2-2-1-5-03,2.2.1.5,TRAUMA,Control of life-threatening hemorrhage,Junctional Hemorrhage Packing,69495e8b2e84,none,0.576,seed100,EMS2026-2-2-1-5-05,Anticoagulants Without Losing Hemorrhage Priorities,2.2.1.5
10,EMS2026-2-2-6-02,JOB-2-2-6-02,2.2.6,TRAUMA,Facial and Ocular Trauma,Alkali Eye Burn Irrigation,924390d0bed1,none,,,,,
11,EMS2026-2-2-8-2-03,JOB-2-2-8-2-03,2.2.8.2,TRAUMA,Crush injuries,Crush Release Preparation,e979e7393e51,none,,,,,
12,EMS2026-2-3-1-2-02,JOB-2-3-1-2-02,2.3.1.2,MEDICAL EMERGENCIES,Use of capnometry and capnography waveforms in diagnosis and management,Capnography Drop During Ventilation,e796496d78ca,none,,,,,
13,EMS2026-2-3-1-3-02,JOB-2-3-1-3-02,2.3.1.3,MEDICAL EMERGENCIES,Management of respiratory distress or shortness of breath,Ventilatory Support In COPD Exhaustion,e6fd472bcac8,none,,,,,
14,EMS2026-2-3-1-4-01,JOB-2-3-1-4-01,2.3.1.4,MEDICAL EMERGENCIES,Non-invasive positive pressure ventilation,CPAP For Pulmonary Edema,4d25acf4510e,none,,,,,
15,EMS2026-2-3-1-6-2-01,JOB-2-3-1-6-2-01,2.3.1.6.2,MEDICAL EMERGENCIES,Management and related devices,Recurrent Tension Pneumothorax,6a96cb8cda0c,none,,,,,
16,EMS2026-2-3-2-6-2-02,JOB-2-3-2-6-2-02,2.3.2.6.2,MEDICAL EMERGENCIES,Ventricular assist devices (surgical and percutaneous),LVAD Alarm Troubleshooting,e79d1298a099,none,,,,,
17,EMS2026-2-3-5-4-04,JOB-2-3-5-4-04,2.3.5.4,MEDICAL EMERGENCIES,Insulin pumps,Insulin Pump Hypoglycemia,db2d43f7708c,none,,,,,
18,EMS2026-2-3-5-5-02,JOB-2-3-5-5-02,2.3.5.5,MEDICAL EMERGENCIES,Wearable glucose monitors,CGM Conflict With EMS Glucose,bd60d4df7e13,none,,,,,
19,EMS2026-2-3-6-1-2-02,JOB-2-3-6-1-2-02,2.3.6.1.2,MEDICAL EMERGENCIES,Uncontrolled hemorrhage from shunt site,Dialysis Fistula Hemorrhage,1e4c03740447,none,,,,,
20,EMS2026-2-3-6-2-03,JOB-2-3-6-2-03,2.3.6.2,MEDICAL EMERGENCIES,Evaluation and treatment of hyperkalemia,Hyperkalemia With ECG Changes,e895077392fe,none,,,,,
21,EMS2026-2-3-7-1-2-02,JOB-2-3-7-1-2-02,2.3.7.1.2,MEDICAL EMERGENCIES,Preeclampsia and eclampsia,Eclamptic Seizure Priorities,964d046abefa,none,,,,,
22,EMS2026-2-3-7-1-4-02,JOB-2-3-7-1-4-02,2.3.7.1.4,MEDICAL EMERGENCIES,Placenta previa,Placenta Previa Exam Avoidance,a6dcf6d7df0e,none,,,,,
23,EMS2026-2-3-7-3-2-02,JOB-2-3-7-3-2-02,2.3.7.3.2,MEDICAL EMERGENCIES,Shoulder dystocia,Shoulder Dystocia First Maneuver,f91569610718,none,,,,,
24,EMS2026-2-3-7-3-6-02,JOB-2-3-7-3-6-02,2.3.7.3.6,MEDICAL EMERGENCIES,Neonatal resuscitation,Neonatal Positive-Pressure Ventilation,711f9d70c51a,none,,,,,
25,EMS2026-2-3-8-3-01,JOB-2-3-8-3-01,2.3.8.3,MEDICAL EMERGENCIES,Treatment with antidotes,Ventilation Before Naloxone,939278237f88,none,,,,,
26,EMS2026-2-3-8-2-5-03,JOB-2-3-8-2-5-03,2.3.8.2.5,MEDICAL EMERGENCIES,Organophosphates,Atropine Endpoint In Organophosphate Poisoning,bffb0318bfb0,none,,,,,
27,EMS2026-2-3-8-5-1-02,JOB-2-3-8-5-1-02,2.3.8.5.1,MEDICAL EMERGENCIES,Treatment of suspected overdose,Toxicologic Seizure Treatment,cf81553097e9,none,,,,,
28,EMS2026-2-3-10-1-03,JOB-2-3-10-1-03,2.3.10.1,MEDICAL EMERGENCIES,Early recognition,Recognizing Prehospital Septic Shock,a512457a12ed,none,,,,,
29,EMS2026-2-3-10-2-03,JOB-2-3-10-2-03,2.3.10.2,MEDICAL EMERGENCIES,"Management (e.g., care bundles)",Oxygenation In Septic Shock,05f121928ed1,none,,,,,
30,EMS2026-2-3-11-1-3-02,JOB-2-3-11-1-3-02,2.3.11.1.3,MEDICAL EMERGENCIES,"Airborne (e.g., measles, COVID-19, varicella, tuberculosis)",Tuberculosis Airborne Precautions,87e50bc4fc5f,none,,,,,
31,EMS2026-2-3-11-5-4-4-01,JOB-2-3-11-5-4-4-01,2.3.11.5.4.4,MEDICAL EMERGENCIES,Alerting public health/receiving facility,Early Infectious-Disease Notification,52d8f54890a3,none,,,,,
32,EMS2026-2-3-12-1-1-02,JOB-2-3-12-1-1-02,2.3.12.1.1,MEDICAL EMERGENCIES,Mood disorders,Direct Suicide Risk Questions,de706a00c0f9,none,,,,,
33,EMS2026-2-3-12-1-3-02,JOB-2-3-12-1-3-02,2.3.12.1.3,MEDICAL EMERGENCIES,"Anxiety, panic disorder, hyperventilation syndrome",Panic Mimic Assessment,7a46d0a89b74,none,,,,,
34,EMS2026-2-3-12-2-03,JOB-2-3-12-2-03,2.3.12.2,MEDICAL EMERGENCIES,Suicidal ideation,Weapon Risk In Suicidal Patient,186c0fb24ee6,none,,,,,
35,EMS2026-2-3-12-3-4-02,JOB-2-3-12-3-4-02,2.3.12.3.4,MEDICAL EMERGENCIES,Delirium with agitated behavior,Agitated Delirium As Medical Emergency,c26f7d7d6363,none,,,,,
36,EMS2026-2-3-13-1-1-02,JOB-2-3-13-1-1-02,2.3.13.1.1,MEDICAL EMERGENCIES,Hypothermia,Urban Hypothermia Assessment,b7ed743eb589,none,,,,,
37,EMS2026-2-3-13-1-3-02,JOB-2-3-13-1-3-02,2.3.13.1.3,MEDICAL EMERGENCIES,Protection from injury vs. re-warming,Gentle Handling In Moderate Hypothermia,3976fc45cec1,none,,,,,
38,EMS2026-2-3-13-2-1-03,JOB-2-3-13-2-1-03,2.3.13.2.1,MEDICAL EMERGENCIES,Exertional heat stroke,Cool First In Exertional Heat Stroke,0b25bec813c5,none,,,,,
39,EMS2026-2-3-13-4-1-03,JOB-2-3-13-4-1-03,2.3.13.4.1,MEDICAL EMERGENCIES,Initial management in water,Ventilation Priority In Drowning Arrest,fb2c1b4089e7,none,,,,,
40,EMS2026-2-4-5-1-03,JOB-2-4-5-1-03,2.4.5.1,SPECIAL CLINICAL CONSIDERATIONS,Pediatric airway management,Croup Treatment Without Agitation,521c742ce511,none,,,,,
41,EMS2026-2-4-5-4-03,JOB-2-4-5-4-03,2.4.5.4,SPECIAL CLINICAL CONSIDERATIONS,Unique issues related to consent,Concerning Pediatric Refusal,2c775caace79,none,,,,,
42,EMS2026-2-4-5-7-03,JOB-2-4-5-7-03,2.4.5.7,SPECIAL CLINICAL CONSIDERATIONS,Safe transport of pediatric patients,Safe Pediatric Ambulance Restraint,024a8923eb47,none,,,,,
43,EMS2026-2-4-6-1-03,JOB-2-4-6-1-03,2.4.6.1,SPECIAL CLINICAL CONSIDERATIONS,"Geriatric trauma (e.g., falls)",Geriatric Head Injury Undertriage,6f83c1ad2329,none,,,,,
44,EMS2026-2-4-6-3-04,JOB-2-4-6-3-04,2.4.6.3,SPECIAL CLINICAL CONSIDERATIONS,Dementia or delirium,Acute Delirium In Dementia,558b87faeb61,none,,,,,
45,EMS2026-2-4-7-2-02,JOB-2-4-7-2-02,2.4.7.2,SPECIAL CLINICAL CONSIDERATIONS,Procedure challenges,Bariatric Respiratory Positioning,b6170f7219e8,none,,,,,
46,EMS2026-2-4-8-1-03,JOB-2-4-8-1-03,2.4.8.1,SPECIAL CLINICAL CONSIDERATIONS,Hospice care,Hospice Dyspnea Goals Of Care,42173f5cd71b,none,,,,,
47,EMS2026-2-4-9-2-02,JOB-2-4-9-2-02,2.4.9.2,SPECIAL CLINICAL CONSIDERATIONS,Family centered care,Caregiver Input For Home Ventilator Alarm,daa6dc551e8b,none,,,,,
48,EMS2026-2-4-9-3-02,JOB-2-4-9-3-02,2.4.9.3,SPECIAL CLINICAL CONSIDERATIONS,Management of bystanders while caring for patient,Bystander History During Ongoing Care,38456ca71adb,none,,,,,
49,EMS2026-2-3-9-5-02,JOB-2-3-9-5-02,2.3.9.5,MEDICAL EMERGENCIES,Explosive/Blast,Blast Scene Secondary-Device Safety,3f0983846e31,none,,,,,
50,EMS2026-2-3-11-3-4-02,JOB-2-3-11-3-4-02,2.3.11.3.4,MEDICAL EMERGENCIES,MPox,Suspected MPox Source Control,eb7568d383a9,none,,,,,
