review_order,question_id,job_id,content_id,core_content_code,title,source_label,topic,topic_group,domain
1,EMS2026-4-1-3-5-02,JOB-4-1-3-5-02,4.1.3.5,4.1.3.5,ICS-200 For Initial Incident Command,first50_reviewed_website_push,IS-100 and IS-200,Disaster Management,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
2,EMS2026-2-1-2-4-01,JOB-2-1-2-4-01,2.1.2.4,2.1.2.4,Bariatric Airway Reserve,first50_reviewed_website_push,Airway management in bariatric patients,Resuscitation,CLINICAL ASPECTS OF EMS MEDICINE
3,EMS2026-3-1-2-1-02,JOB-3-1-2-1-02,3.1.2.1,3.1.2.1,System 1 Reasoning Trap,first50_reviewed_website_push,Clinical decision making,Quality Management,QUALITY MANAGEMENT AND RESEARCH
4,EMS2026-2-3-3-1-1-05,JOB-2-3-3-1-1-05,2.3.3.1.1,2.3.3.1.1,Stroke Mimic Glucose Check,first50_reviewed_website_push,Prehospital stroke identification and severity scales,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
5,EMS2026-2-2-1-1-02,JOB-2-2-1-1-02,2.2.1.1,2.2.1.1,Penetrating Trauma Fluid Timing,first50_reviewed_website_push,Goal of minimizing scene time for severe trauma,Trauma,CLINICAL ASPECTS OF EMS MEDICINE
6,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,2.1.2.1.3,Correcting A Failing BVM Seal,paramedic_next_action_50,Bag-valve-mask ventilation,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
7,EMS2026-1-4-4-3-04,JOB-1-4-4-3-04,1.4.4.3,1.4.4.3,Public Access Defibrillation Law Variation,first50_reviewed_website_push,Public access defibrillation (PAD),EMS System Management,MEDICAL OVERSIGHT OF EMS
8,EMS2026-1-4-4-5-06,JOB-1-4-4-5-06,1.4.4.5,1.4.4.5,Coalition Coordination During Surge,first50_reviewed_website_push,"Integration of EMS, community public resources, mental health resources, and social services",EMS System Management,MEDICAL OVERSIGHT OF EMS
9,EMS2026-3-1-1-07,JOB-3-1-1-07,3.1.1,3.1.1,PDSA Small Test Of Change,first50_reviewed_website_push,Quality Improvement Methodology Frameworks,Quality Management,QUALITY MANAGEMENT AND RESEARCH
10,EMS2026-4-4-4-04,JOB-4-4-4-04,4.4.4,4.4.4,Tactical Field Care Tradeoff,first50_reviewed_website_push,Phases of care,Tactical,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
11,EMS2026-2-3-11-3-1-02,JOB-2-3-11-3-1-02,2.3.11.3.1,2.3.11.3.1,Stable Returned Traveler With Suspected VHF PPE,first50_reviewed_website_push,Viral hemorrhagic fevers,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
12,EMS2026-2-1-2-2-6-03,JOB-2-1-2-2-6-03,2.1.2.2.6,2.1.2.2.6,Airway Choice After CPR Pauses,paramedic_next_action_50,Supraglottic/extraglottic airways,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
13,EMS2026-1-1-1-1-1-05,JOB-1-1-1-1-1-05,1.1.1.1.1,1.1.1.1.1,Physician Field Procedure Governance,first50_reviewed_website_push,Provision of direct patient care,Medical Oversight,MEDICAL OVERSIGHT OF EMS
14,EMS2026-2-2-7-1-03,JOB-2-2-7-1-03,2.2.7.1,2.2.7.1,Severe TBI Airway Quality Dependency,first50_reviewed_website_push,Severe head injury management,Trauma,CLINICAL ASPECTS OF EMS MEDICINE
15,EMS2026-2-2-1-2-05,JOB-2-2-1-2-05,2.2.1.2,2.2.1.2,Permissive Hypotension Boundary,first50_reviewed_website_push,Management and resuscitation of multi-trauma patient,Trauma,CLINICAL ASPECTS OF EMS MEDICINE
16,EMS2026-1-1-2-5-03,JOB-1-1-2-5-03,1.1.2.5,1.1.2.5,Abandonment And Inadequate Assessment,first50_reviewed_website_push,Patient abandonment,Medical Oversight,MEDICAL OVERSIGHT OF EMS
17,EMS2026-4-2-5-1-03,JOB-4-2-5-1-03,4.2.5.1,4.2.5.1,Event Dispatch Responsibilities,first50_reviewed_website_push,Onsite public safety answering point and dispatch,Mass Gathering,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
18,EMS2026-2-1-2-6-03,JOB-2-1-2-6-03,2.1.2.6,2.1.2.6,Post-Tonsillectomy Airway Priority,paramedic_next_action_50,Control of post-tonsillectomy hemorrhage,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
19,EMS2026-2-3-7-3-4-04,JOB-2-3-7-3-4-04,2.3.7.3.4,2.3.7.3.4,Postpartum Hemorrhage Adjuncts,first50_reviewed_website_push,Post-partum hemorrhage,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
20,EMS2026-2-4-5-5-01,JOB-2-4-5-5-01,2.4.5.5,2.4.5.5,BRUE Definition Boundary,first50_reviewed_website_push,Brief resolved unexplained event (BRUE),Special Clinical Considerations,CLINICAL ASPECTS OF EMS MEDICINE
21,EMS2026-1-5-3-01,JOB-1-5-3-01,1.5.3,1.5.3,Emergency Risk Communication Statement,first50_reviewed_website_push,Emergency risk communication,Crisis and Emergency Risk Communication,MEDICAL OVERSIGHT OF EMS
22,EMS2026-2-3-11-1-1-02,JOB-2-3-11-1-1-02,2.3.11.1.1,2.3.11.1.1,Bloodborne Exposure Route,first50_reviewed_website_push,"Contact (e.g., Norovirus, MRSA, Hep B, C)",Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
23,EMS2026-2-4-5-1-05,JOB-2-4-5-1-05,2.4.5.1,2.4.5.1,Pediatric Airway Program Metrics,first50_reviewed_website_push,Pediatric airway management,Special Clinical Considerations,CLINICAL ASPECTS OF EMS MEDICINE
24,EMS2026-2-1-3-1-03,JOB-2-1-3-1-03,2.1.3.1,2.1.3.1,Compensated Shock With Bleeding,paramedic_next_action_50,Recognition of shock and hypotension,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
25,EMS2026-2-3-5-2-04,JOB-2-3-5-2-04,2.3.5.2,2.3.5.2,Hypoglycemia Treat-And-Release Criteria,first50_reviewed_website_push,Protocols for treat and release,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
26,EMS2026-3-2-2-05,JOB-3-2-2-05,3.2.2,3.2.2,Interventional Study Identification,first50_reviewed_website_push,Epidemiology,Research,QUALITY MANAGEMENT AND RESEARCH
27,EMS2026-3-1-3-2-02,JOB-3-1-3-2-02,3.1.3.2,3.1.3.2,QI Infrastructure And Trust,first50_reviewed_website_push,Quality improvement programs,Quality Management,QUALITY MANAGEMENT AND RESEARCH
28,EMS2026-2-4-1-02,JOB-2-4-1-02,2.4.1,2.4.1,Field-Relevant POC Testing,first50_reviewed_website_push,Point of Care Testing,Special Clinical Considerations,CLINICAL ASPECTS OF EMS MEDICINE
29,EMS2026-3-1-2-2-04,JOB-3-1-2-2-04,3.1.2.2,3.1.2.2,Human Factors Safer Default,first50_reviewed_website_push,Cognitive biases,Quality Management,QUALITY MANAGEMENT AND RESEARCH
30,EMS2026-2-1-3-2-03,JOB-2-1-3-2-03,2.1.3.2,2.1.3.2,Obstructive Shock From Chest Trauma,paramedic_next_action_50,Management of hypotension and shock,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
31,EMS2026-1-4-4-3-01,JOB-1-4-4-3-01,1.4.4.3,1.4.4.3,Community Intervention For CARES Outcomes,first50_reviewed_website_push,Public access defibrillation (PAD),EMS System Management,MEDICAL OVERSIGHT OF EMS
32,EMS2026-1-4-4-5-01,JOB-1-4-4-5-01,1.4.4.5,1.4.4.5,Public Health Functions In EMS Collaboration,first50_reviewed_website_push,"Integration of EMS, community public resources, mental health resources, and social services",EMS System Management,MEDICAL OVERSIGHT OF EMS
33,EMS2026-3-2-3-3-01,JOB-3-2-3-3-01,3.2.3.3,3.2.3.3,Intention-To-Treat Analysis,first50_reviewed_website_push,Data analysis,Research,QUALITY MANAGEMENT AND RESEARCH
34,EMS2026-2-3-1-1-03,JOB-2-3-1-1-03,2.3.1.1,2.3.1.1,Dyspnea Anchoring Trap,first50_reviewed_website_push,Determination of causes,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
35,EMS2026-4-4-4-05,JOB-4-4-4-05,4.4.4,4.4.4,Tactical Extraction Versus Routine Care,first50_reviewed_website_push,Phases of care,Tactical,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
36,EMS2026-2-1-3-3-3-02,JOB-2-1-3-3-3-02,2.1.3.3.3,2.1.3.3.3,Pediatric IO Site With Tibial Fracture,paramedic_next_action_50,Placement of intraosseous lines (adult and pediatric),RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
37,EMS2026-4-1-6-3-02,JOB-4-1-6-3-02,4.1.6.3,4.1.6.3,Crisis Standards Legal Boundary,first50_reviewed_website_push,Contingency and crisis standards of care,Disaster Management,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
38,EMS2026-2-3-11-7-03,JOB-2-3-11-7-03,2.3.11.7,2.3.11.7,Ambulance Decontamination PPE,first50_reviewed_website_push,Cleaning and disinfection of the ambulance,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
39,EMS2026-1-4-4-1-04,JOB-1-4-4-1-04,1.4.4.1,1.4.4.1,Specialty Designation Authority,first50_reviewed_website_push,Specialty hospital designations and patient transport,EMS System Management,MEDICAL OVERSIGHT OF EMS
40,EMS2026-3-2-4-5-05,JOB-3-2-4-5-05,3.2.4.5,3.2.4.5,Cost-Minimization Analysis,first50_reviewed_website_push,Cost analysis research,Research,QUALITY MANAGEMENT AND RESEARCH
41,EMS2026-1-3-4-1-1-07,JOB-1-3-4-1-1-07,1.3.4.1.1,1.3.4.1.1,Tuberculosis Exposure Program,first50_reviewed_website_push,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",EMS Personnel,MEDICAL OVERSIGHT OF EMS
42,EMS2026-2-1-4-03,JOB-2-1-4-03,2.1.4,2.1.4,Airway First In Altered Mental Status,paramedic_next_action_50,Altered Mental Status,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
43,EMS2026-1-4-6-1-02,JOB-1-4-6-1-02,1.4.6.1,1.4.6.1,Alternative Destination Legal Check,first50_reviewed_website_push,Alternative destinations,EMS System Management,MEDICAL OVERSIGHT OF EMS
44,EMS2026-2-1-2-2-8-01,JOB-2-1-2-2-8-01,2.1.2.2.8,2.1.2.2.8,Prehospital Surgical Airway Indication,first50_reviewed_website_push,Cricothyroidotomy,Resuscitation,CLINICAL ASPECTS OF EMS MEDICINE
45,EMS2026-4-6-2-3-01,JOB-4-6-2-3-01,4.6.2.3,4.6.2.3,Wilderness Joint Reduction Tradeoff,first50_reviewed_website_push,"Field reduction of dislocations, subluxations, or fractures",Wilderness,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
46,EMS2026-1-3-4-1-1-06,JOB-1-3-4-1-1-06,1.3.4.1.1,1.3.4.1.1,NFPA Department Physician Role,first50_reviewed_website_push,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",EMS Personnel,MEDICAL OVERSIGHT OF EMS
47,EMS2026-1-1-1-2-2-02,JOB-1-1-1-2-2-02,1.1.1.2.2,1.1.1.2.2,CQI Versus QA,first50_reviewed_website_push,Quality improvement programs,Medical Oversight,MEDICAL OVERSIGHT OF EMS
48,EMS2026-2-2-1-2-03,JOB-2-2-1-2-03,2.2.1.2,2.2.1.2,Trauma Tension Pneumothorax Priority,paramedic_next_action_50,Management and resuscitation of multi-trauma patient,TRAUMA,CLINICAL ASPECTS OF EMS MEDICINE
49,EMS2026-2-3-13-4-2-01,JOB-2-3-13-4-2-01,2.3.13.4.2,2.3.13.4.2,Decompression Sickness Mechanism,first50_reviewed_website_push,Decompression illness,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
50,EMS2026-4-2-1-3-02,JOB-4-2-1-3-02,4.2.1.3,4.2.1.3,Event Treatment Facility Design,first50_reviewed_website_push,Design of event treatment facilities,Mass Gathering,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
51,EMS2026-2-4-9-6-01,JOB-2-4-9-6-01,2.4.9.6,2.4.9.6,Housing Status Documentation,first50_reviewed_website_push,Housing instability,Special Clinical Considerations,CLINICAL ASPECTS OF EMS MEDICINE
52,EMS2026-2-3-1-2-04,JOB-2-3-1-2-04,2.3.1.2,2.3.1.2,Sepsis Low End-Tidal Carbon Dioxide Response,first50_reviewed_website_push,Use of capnometry and capnography waveforms in diagnosis and management,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
53,EMS2026-2-3-7-2-2-03,JOB-2-3-7-2-2-03,2.3.7.2.2,2.3.7.2.2,High-Risk Delivery Resources,first50_reviewed_website_push,"High-risk delivery of a fetus (e.g., preterm delivery)",Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
54,EMS2026-2-2-1-5-03,JOB-2-2-1-5-03,2.2.1.5,2.2.1.5,Junctional Hemorrhage Packing,paramedic_next_action_50,Control of life-threatening hemorrhage,TRAUMA,CLINICAL ASPECTS OF EMS MEDICINE
55,EMS2026-4-2-3-05,JOB-4-2-3-05,4.2.3,4.2.3,Mass Gathering Drill Participation,first50_reviewed_website_push,Training and Drills,Mass Gathering,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
56,EMS2026-4-1-7-2-1-02,JOB-4-1-7-2-1-02,4.1.7.2.1,4.1.7.2.1,Treatment Sector Function,first50_reviewed_website_push,Life-saving interventions and on-site treatment,Disaster Management,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
57,EMS2026-4-2-1-5-05,JOB-4-2-1-5-05,4.2.1.5,4.2.1.5,Mass Gathering Initial Resource Report,first50_reviewed_website_push,MCI preparedness within mass gathering,Mass Gathering,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
58,EMS2026-2-3-2-7-02,JOB-2-3-2-7-02,2.3.2.7,2.3.2.7,Wearable Defibrillator During CPR,first50_reviewed_website_push,Wearable cardioverter defibrillator,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
59,EMS2026-4-1-7-2-1-04,JOB-4-1-7-2-1-04,4.1.7.2.1,4.1.7.2.1,Nontransporting ALS In Treatment Areas,first50_reviewed_website_push,Life-saving interventions and on-site treatment,Disaster Management,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
60,EMS2026-2-2-6-02,JOB-2-2-6-02,2.2.6,2.2.6,Alkali Eye Burn Irrigation,paramedic_next_action_50,Facial and Ocular Trauma,TRAUMA,CLINICAL ASPECTS OF EMS MEDICINE
61,EMS2026-2-2-1-4-2-04,JOB-2-2-1-4-2-04,2.2.1.4.2,2.2.1.4.2,Spinal Restriction In Gunshot Wounds,legacy_locked_priority_superset_100,Gunshot wounds and ballistics,,CLINICAL ASPECTS OF EMS MEDICINE
62,EMS2026-1-2-7-02,JOB-1-2-7-02,1.2.7,1.2.7,Emergency Medical Care System Scope,legacy_locked_priority_superset_100,Regionalization of Care,,MEDICAL OVERSIGHT OF EMS
63,EMS2026-2-3-8-3-05,JOB-2-3-8-3-05,2.3.8.3,2.3.8.3,Antidote Matching in Toxic Shock,legacy_locked_priority_superset_100,Treatment with antidotes,,CLINICAL ASPECTS OF EMS MEDICINE
64,EMS2026-4-5-5-01,JOB-4-5-5-01,4.5.5,4.5.5,Equipment Staging Before Access,legacy_locked_priority_superset_100,Operational considerations,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
65,EMS2026-4-5-1-1-04,JOB-4-5-1-1-04,4.5.1.1,4.5.1.1,High-Angle Rescue Equipment Planning,legacy_locked_priority_superset_100,Rope rescue,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
66,EMS2026-2-2-8-2-03,JOB-2-2-8-2-03,2.2.8.2,2.2.8.2,Crush Release Preparation,paramedic_next_action_50,Crush injuries,TRAUMA,CLINICAL ASPECTS OF EMS MEDICINE
67,EMS2026-4-7-4-05,JOB-4-7-4-05,4.7.4,4.7.4,Mobile Integrated Health Medical Direction,legacy_locked_priority_superset_100,Medical oversight models,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
68,EMS2026-2-3-7-8-05,JOB-2-3-7-8-05,2.3.7.8,2.3.7.4,Resuscitative Hysterotomy,legacy_locked_priority_superset_100,Systems of care (including destination decisions),,CLINICAL ASPECTS OF EMS MEDICINE
69,EMS2026-2-1-2-2-4-04,JOB-2-1-2-2-4-04,2.1.2.2.4,2.1.2.2.4,Video Laryngoscopy For Team Performance,legacy_locked_priority_superset_100,Video laryngoscopy,,CLINICAL ASPECTS OF EMS MEDICINE
70,EMS2026-3-2-1-2-05,JOB-3-2-1-2-05,3.2.1.2,3.2.1.2,Exempt Review in EMS Research,legacy_locked_priority_superset_100,Role of the Institutional Review Board,,QUALITY MANAGEMENT AND RESEARCH
71,EMS2026-2-4-13-03,JOB-2-4-13-03,2.4.13,2.4.13,Names and Pronouns in Prehospital Care,legacy_locked_priority_superset_100,Gender-based Health Issues,,CLINICAL ASPECTS OF EMS MEDICINE
72,EMS2026-2-3-1-2-02,JOB-2-3-1-2-02,2.3.1.2,2.3.1.2,Capnography Drop During Ventilation,paramedic_next_action_50,Use of capnometry and capnography waveforms in diagnosis and management,MEDICAL EMERGENCIES,CLINICAL ASPECTS OF EMS MEDICINE
73,EMS2026-3-1-6-08,JOB-3-1-6-08,3.1.6,3.1.6,Equity Monitoring During Implementation,legacy_locked_priority_superset_100,Implementation Science,,QUALITY MANAGEMENT AND RESEARCH
74,EMS2026-2-2-8-1-04,JOB-2-2-8-1-04,2.2.8.1,2.2.8.1,Traumatic Amputation Stump Care,legacy_locked_priority_superset_100,Field limb amputation,,CLINICAL ASPECTS OF EMS MEDICINE
75,EMS2026-1-1-1-2-2-01,JOB-1-1-1-2-2-01,1.1.1.2.2,1.1.1.2.2,QI Versus Discipline For A Process Defect,legacy_locked_priority_superset_100,Quality improvement programs,,MEDICAL OVERSIGHT OF EMS
76,EMS2026-1-5-1-12,JOB-1-5-1-12,1.5.1,1.5.1,Public Reporting Without Misleading,legacy_locked_priority_superset_100,Public information and interacting with the media,,MEDICAL OVERSIGHT OF EMS
77,EMS2026-2-3-1-6-1-05,JOB-2-3-1-6-1-05,2.3.1.6.1,2.3.1.6.1,Pneumothorax During Air Transport,legacy_locked_priority_superset_100,Clinical diagnosis,,CLINICAL ASPECTS OF EMS MEDICINE
78,EMS2026-2-3-1-3-02,JOB-2-3-1-3-02,2.3.1.3,2.3.1.3,Ventilatory Support In COPD Exhaustion,paramedic_next_action_50,Management of respiratory distress or shortness of breath,MEDICAL EMERGENCIES,CLINICAL ASPECTS OF EMS MEDICINE
79,EMS2026-1-3-7-08,JOB-1-3-7-08,1.3.7,1.3.7,"Race, Ethnicity, And EMS Care Differences",legacy_locked_priority_superset_100,Diverse and Inclusive Workforce,,MEDICAL OVERSIGHT OF EMS
80,EMS2026-3-2-1-1-07,JOB-3-2-1-1-07,3.2.1.1,3.2.1.1,The Common Rule,legacy_locked_priority_superset_100,"Ethical frameworks (e.g., Belmont Report, Common Rule, Final Rule)",,QUALITY MANAGEMENT AND RESEARCH
81,EMS2026-4-6-2-4-02,JOB-4-6-2-4-02,4.6.2.4,4.6.2.4,Hypothermia Handling Priority,legacy_locked_priority_superset_100,Patient temperature management,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
82,EMS2026-2-4-12-1-02,JOB-2-4-12-1-02,2.4.12.1,2.4.12.1,Lift Assist Refusal Risk,legacy_locked_priority_superset_100,Lift assist calls,,CLINICAL ASPECTS OF EMS MEDICINE
83,EMS2026-1-3-6-08,JOB-1-3-6-08,1.3.6,1.3.6,Recruitment And Systemic Racism,legacy_locked_priority_superset_100,Recruitment and Retention,,MEDICAL OVERSIGHT OF EMS
84,EMS2026-2-3-1-4-01,JOB-2-3-1-4-01,2.3.1.4,2.3.1.4,CPAP For Pulmonary Edema,paramedic_next_action_50,Non-invasive positive pressure ventilation,MEDICAL EMERGENCIES,CLINICAL ASPECTS OF EMS MEDICINE
85,EMS2026-4-5-1-5-04,JOB-4-5-1-5-04,4.5.1.5,4.5.1.5,Medical Advice During Machinery Disentanglement,legacy_locked_priority_superset_100,Vehicle and machinery rescue,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
86,EMS2026-2-2-1-1-04,JOB-2-2-1-1-04,2.2.1.1,2.2.1.1,Scene Time Versus Hemorrhage Control,legacy_locked_priority_superset_100,Goal of minimizing scene time for severe trauma,,CLINICAL ASPECTS OF EMS MEDICINE
87,EMS2026-1-3-2-2-01,JOB-1-3-2-2-01,1.3.2.2,1.3.2.2,Hybrid Education For A Psychomotor Skill,legacy_locked_priority_superset_100,Education delivery models,,MEDICAL OVERSIGHT OF EMS
88,EMS2026-1-1-2-7-06,JOB-1-1-2-7-06,1.1.2.7,1.1.2.7,Risk Management Applied To Crashes,legacy_locked_priority_superset_100,Risk management,,MEDICAL OVERSIGHT OF EMS
89,EMS2026-1-3-4-1-1-02,JOB-1-3-4-1-1-02,1.3.4.1.1,1.3.4.1.1,Needlestick Exposure First Actions,legacy_locked_priority_superset_100,"Regulations and standards (e.g., National Fire Protection Association [NFPA] 1582, Ryan White Act, Occupational Safety and Health Administration [OSHA] requirements, National Institute for Occupational Safety and Health [NIOSH])",,MEDICAL OVERSIGHT OF EMS
90,EMS2026-2-3-1-6-2-01,JOB-2-3-1-6-2-01,2.3.1.6.2,2.3.1.6.2,Recurrent Tension Pneumothorax,paramedic_next_action_50,Management and related devices,MEDICAL EMERGENCIES,CLINICAL ASPECTS OF EMS MEDICINE
91,EMS2026-4-6-2-4-04,JOB-4-6-2-4-04,4.6.2.4,4.6.2.4,Field Thawing of Frostbite,legacy_locked_priority_superset_100,Patient temperature management,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
92,EMS2026-4-1-4-2-05,JOB-4-1-4-2-05,4.1.4.2,4.1.4.2,Emergency Management Assistance Compact Licensure,legacy_locked_priority_superset_100,State emergency mutual aid compacts,,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
93,EMS2026-2-3-13-3-3-02,JOB-2-3-13-3-3-02,2.3.13.3.3,2.3.13.3.3,Mild Acute Mountain Sickness,legacy_locked_priority_superset_100,Field prophylaxis and treatment,,CLINICAL ASPECTS OF EMS MEDICINE
94,EMS2026-1-4-3-4-4-01,JOB-1-4-3-4-4-01,1.4.3.4.4,1.4.3.4.4,Health Privacy At A Public Scene,legacy_locked_priority_superset_100,Health Insurance Portability and Accountability Act (HIPAA),,MEDICAL OVERSIGHT OF EMS
95,EMS2026-2-3-13-4-4-01,JOB-2-3-13-4-4-01,2.3.13.4.4,2.3.13.4.4,Nitrogen Narcosis Mechanism,legacy_locked_priority_superset_100,Nitrogen narcosis,,CLINICAL ASPECTS OF EMS MEDICINE
96,EMS2026-2-3-2-6-2-02,JOB-2-3-2-6-2-02,2.3.2.6.2,2.3.2.6.2,LVAD Alarm Troubleshooting,paramedic_next_action_50,Ventricular assist devices (surgical and percutaneous),MEDICAL EMERGENCIES,CLINICAL ASPECTS OF EMS MEDICINE
97,EMS2026-2-3-1-6-2-03,JOB-2-3-1-6-2-03,2.3.1.6.2,2.3.1.6.2,Finger Thoracostomy System Requirements,legacy_locked_priority_superset_100,Management and related devices,,CLINICAL ASPECTS OF EMS MEDICINE
