question_number,pilot_id,core_content_code,title,correct_answer,option_only_solvable_flag,option_only_reasons,implausible_distractor_count,high_quality_distractor_count,distractor_authenticity_pass,rewrite_recommended,recommended_rescue_structure,distractor_flags_by_letter
51,WEBX100-051,2.1.1.2,Refractory Arrest Transport Capability,C,False,,0,2,True,False,,"{""A"": ""absolute_term;brittle_absolute_without_boundary"", ""B"": ""absolute_term"", ""D"": ""absolute_term""}"
52,WEBX100-052,2.3.13.2.1,Heat Exhaustion Versus Heat Stroke,D,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""absolute_term;no_real_action_term_info;brittle_absolute_without_boundary""}"
53,WEBX100-053,2.1.1.4,TOR Family Acceptability,A,False,,0,3,True,False,,"{""B"": """", ""C"": """", ""D"": ""borderline_absolute_term""}"
54,WEBX100-054,2.1.1.6,POLST As Actionable Orders,B,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""absolute_term;borderline_absolute_term;no_real_action_term_info;brittle_absolute_without_boundary"", ""D"": ""absolute_term;borderline_absolute_term;no_real_action_term_info;low_domain_overlap""}"
55,WEBX100-055,2.3.1.2,Capnography For Ventilation Monitoring,C,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""borderline_absolute_term;no_real_action_term_info"", ""D"": """"}"
56,WEBX100-056,2.3.2.6.1,IABP Transport Precheck,D,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": """"}"
57,WEBX100-057,1.1.1.2.3,Provider-Initiated Nontransport Oversight,A,False,,0,2,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": ""borderline_absolute_term"", ""D"": ""multiple_absolute_terms;no_real_action_term_info;brittle_absolute_without_boundary""}"
58,WEBX100-058,2.3.7.3.4,Uterine Atony Recognition,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
59,WEBX100-059,4.7.6.2,In-Home MIH With Transport Backup,C,False,,0,3,True,False,,"{""A"": """", ""B"": """", ""D"": ""no_real_action_term_info""}"
60,WEBX100-060,1.4.4.1,Certified Stroke Center With Operational Lapses,C,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""D"": """"}"
61,WEBX100-061,2.2.3.1,Spinal Motion Restriction Indication,A,False,,0,2,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": ""borderline_absolute_term"", ""D"": ""multiple_absolute_terms;low_domain_overlap;brittle_absolute_without_boundary""}"
62,WEBX100-062,2.3.11.6.2,Ryan White Infection Control Structure,B,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
63,WEBX100-063,1.5.1,Patient Condition Language,C,False,,0,2,True,False,,"{""A"": ""absolute_term;no_real_action_term_info;brittle_absolute_without_boundary"", ""B"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info;low_domain_overlap""}"
64,WEBX100-064,2.3.13.3.1,High-Altitude Cerebral Edema Temporizing Medication,D,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info""}"
65,WEBX100-065,1.3.7,Workforce Equity Intervention Package,A,False,,0,3,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": """", ""D"": ""no_real_action_term_info""}"
66,WEBX100-066,4.6.2.2,Impaled Object During Wilderness Evacuation,B,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""borderline_absolute_term;no_real_action_term_info""}"
67,WEBX100-067,4.4.5.2,Airway Care Without Light,C,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""multiple_absolute_terms;brittle_absolute_without_boundary"", ""D"": ""borderline_absolute_term;no_real_action_term_info""}"
68,WEBX100-068,1.1.1.2.3,Ambulance Medical Necessity,D,False,,0,3,True,False,,"{""A"": """", ""B"": ""borderline_absolute_term"", ""C"": ""borderline_absolute_term;no_real_action_term_info""}"
69,WEBX100-069,1.2.2.4,EMAC Mutual Aid Function,A,False,,0,3,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
70,WEBX100-070,1.3.6,Retention Beyond Pay,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info;low_domain_overlap"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info;low_domain_overlap""}"
71,WEBX100-071,1.2.5.4,Wilderness Protocol Difference,C,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""D"": ""absolute_term;no_real_action_term_info""}"
72,WEBX100-072,1.1.1.1.1,Physician Field Care Feedback Loop,D,False,,0,2,True,False,,"{""A"": """", ""B"": ""absolute_term;borderline_absolute_term;brittle_absolute_without_boundary"", ""C"": ""borderline_absolute_term;no_real_action_term_info""}"
73,WEBX100-073,2.1.2.2.6,Supraglottic Airway System Role,A,True,key_only_mature_system_language,0,3,False,True,rebuild option set so at least two distractors are plausible before stem application,"{""B"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": """", ""D"": ""no_real_action_term_info""}"
74,WEBX100-074,2.2.5.1.3,Femoral Shaft Fracture Splint Choice,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""borderline_absolute_term""}"
75,WEBX100-075,2.3.11.6.1,Tuberculosis Postexposure Testing Window,C,True,generic_mature_key_not_mirrored,0,3,False,True,rebuild option set so at least two distractors are plausible before stem application,"{""A"": ""borderline_absolute_term"", ""B"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
76,WEBX100-076,4.1.5.5,Strategic Caches And Stockpiles,D,False,,0,2,True,False,,"{""A"": ""borderline_absolute_term"", ""B"": ""absolute_term;brittle_absolute_without_boundary"", ""C"": ""no_real_action_term_info""}"
77,WEBX100-077,4.1.7.1,When MCI Triage Is Needed,A,False,,0,3,True,False,,"{""B"": ""borderline_absolute_term"", ""C"": """", ""D"": """"}"
78,WEBX100-078,1.1.2.3,NAEMSP TOR Protocol Support,B,False,,0,3,True,False,,"{""A"": ""absolute_term"", ""C"": ""borderline_absolute_term;no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
79,WEBX100-079,2.1.1.2,Exceptional CPR Transport,C,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info;low_domain_overlap"", ""B"": ""multiple_absolute_terms;no_real_action_term_info;brittle_absolute_without_boundary"", ""D"": ""borderline_absolute_term""}"
80,WEBX100-080,1.5.2,Special Event Communications Matrix,D,False,,0,3,True,False,,"{""A"": """", ""B"": ""absolute_term;borderline_absolute_term;no_real_action_term_info"", ""C"": ""no_real_action_term_info""}"
81,WEBX100-081,2.2.5.1.3,Femoral Fracture Protocol Update,A,False,,0,2,True,False,,"{""B"": ""absolute_term"", ""C"": ""absolute_term;borderline_absolute_term;brittle_absolute_without_boundary"", ""D"": """"}"
82,WEBX100-082,4.7.2,MIH Heart-Failure Education Need,B,False,,0,3,True,False,,"{""A"": """", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
83,WEBX100-083,1.5.4,PSAP Quality Beyond Answer Time,C,False,,0,2,True,False,,"{""A"": ""absolute_term;borderline_absolute_term;no_real_action_term_info;low_domain_overlap;brittle_absolute_without_boundary"", ""B"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
84,WEBX100-084,2.1.2.1.3,BVM Complication And Cricoid Pressure,D,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info;low_domain_overlap"", ""C"": """"}"
85,WEBX100-085,4.7.5,MIH Competency Evaluation,A,False,,0,3,True,False,,"{""B"": """", ""C"": ""borderline_absolute_term;no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
86,WEBX100-086,2.3.8.4,Caustic Ingestion Oral Exam Trap,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": """"}"
87,WEBX100-087,1.1.1.2.1,Protocol Rollout Quality Loop,C,False,,0,3,True,False,,"{""A"": """", ""B"": ""no_real_action_term_info"", ""D"": ""absolute_term;no_real_action_term_info""}"
88,WEBX100-088,3.2.1.5,EFIC Eligibility Boundary,D,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": """", ""C"": ""low_domain_overlap""}"
89,WEBX100-089,1.1.2.3,POLST Across Settings,A,False,,0,3,True,False,,"{""B"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": ""borderline_absolute_term;no_real_action_term_info"", ""D"": ""borderline_absolute_term""}"
90,WEBX100-090,2.3.2.2.1,Volume-Overload Heart Failure Pattern,B,False,,0,3,True,False,,"{""A"": """", ""C"": """", ""D"": """"}"
91,WEBX100-091,1.1.2.2,Human Trafficking Training Package,C,False,,0,3,True,False,,"{""A"": ""absolute_term;no_real_action_term_info;low_domain_overlap"", ""B"": """", ""D"": ""no_real_action_term_info""}"
92,WEBX100-092,2.3.7.6,Pregnant Trauma Monitoring Destination,D,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""borderline_absolute_term;no_real_action_term_info""}"
93,WEBX100-093,2.2.1.6,Open Pneumothorax Dressing Choice,A,True,generic_mature_key_not_mirrored,0,2,False,True,rebuild option set so at least two distractors are plausible before stem application,"{""B"": ""borderline_absolute_term"", ""C"": ""no_real_action_term_info"", ""D"": ""absolute_term;brittle_absolute_without_boundary""}"
94,WEBX100-094,3.2.2,Cohort Study Direction,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": """"}"
95,WEBX100-095,4.1.1.1,ESF 8 Scope,C,False,,0,3,True,False,,"{""A"": """", ""B"": """", ""D"": """"}"
96,WEBX100-096,3.2.4.4,CONSORT For Randomized Trials,D,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""very_short_option;no_real_action_term_info""}"
97,WEBX100-097,4.7.4,MIH Regulation Without Stifling Innovation,A,False,,0,3,True,False,,"{""B"": """", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
98,WEBX100-098,1.2.5.12,In-Flight Chest Pain Coordination,B,False,,0,3,True,False,,"{""A"": """", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
99,WEBX100-099,1.1.1.3,Low-Frequency High-Risk Skill Maintenance,C,False,,0,3,True,False,,"{""A"": """", ""B"": ""low_domain_overlap"", ""D"": ""borderline_absolute_term""}"
100,WEBX100-100,1.1.1.3,Competency Review Interval,D,False,,0,2,True,False,,"{""A"": ""absolute_term;brittle_absolute_without_boundary"", ""B"": ""borderline_absolute_term"", ""C"": """"}"
